car,price,country,date
Land Rover,7,Italy,2022-09-04
Volvo,44,Portugal,2022-08-29
Dodge,6,Portugal,2022-01-19
MAZDA,3,Portugal,2022-10-23
GMC,96,Portugal,2022-07-28
INFINITI,5,Spain,2022-07-31
INFINITI,68,Portugal,2022-11-17
Tesla,69,France,2022-10-30
Mercedes-Benz,33,Germany,2022-10-06
BMW,38,Spain,2022-08-06
Toyota,64,France,2022-09-02
Volvo,64,Ukraine,2022-01-05
Chevrolet,93,England,2022-02-14
Ford,18,Ukraine,2022-10-31
Mercury,74,France,2022-02-01
Pontiac,45,China,2022-11-01
Mercedes-Benz,21,Portugal,2022-09-14
Mitsubishi,54,England,2022-10-26
MINI,88,Spain,2022-06-18
Cadillac,89,China,2022-12-18
Honda,99,Ukraine,2022-02-08
Honda,75,England,2022-11-24
BMW,20,Ukraine,2022-07-06
Acura,20,USA,2022-07-13
Genesis,79,Germany,2022-12-12
Mitsubishi,58,France,2022-12-17
Volkswagen,7,Spain,2022-02-19
GMC,72,England,2022-10-03
Mitsubishi,69,Norway,2022-02-12
Jeep,89,Italy,2022-06-03
Toyota,85,Portugal,2022-10-03
Hyundai,73,Norway,2022-09-05
Subaru,57,Germany,2022-05-23
GMC,15,USA,2022-06-24
BMW,12,England,2022-10-23
Dodge,96,Spain,2022-09-17
Chevrolet,79,China,2022-10-25
BMW,91,China,2022-10-04
Ram,40,Norway,2022-10-29
Ford,84,England,2022-01-26
Jaguar,90,France,2022-07-11
Scion,59,France,2022-07-09
Mitsubishi,36,USA,2022-11-30
Chevrolet,57,Spain,2022-01-16
Lexus,52,Norway,2022-04-19
Ford,8,England,2022-12-04
Ford,60,Germany,2022-03-16
Toyota,60,Norway,2022-10-26
Mitsubishi,82,USA,2022-05-07
Nissan,71,Spain,2022-08-31
Chevrolet,46,France,2022-09-27
INFINITI,3,Portugal,2022-03-18
Mitsubishi,98,China,2022-07-17
BMW,38,Germany,2022-07-09
GMC,64,Italy,2022-11-27
Ford,27,France,2022-05-15
Chevrolet,49,Italy,2022-11-18
Kia,54,France,2022-08-06
Porsche,15,England,2022-10-20
Mercedes-Benz,44,France,2022-03-23
Cadillac,72,Italy,2022-03-23
Mercedes-Benz,31,Germany,2022-04-01
Ford,27,Spain,2022-02-22
Cadillac,78,China,2022-07-28
Hyundai,60,Ukraine,2022-11-02
Volvo,20,Ukraine,2022-10-23
Audi,95,Italy,2022-06-12
MAZDA,9,China,2022-01-30
Chevrolet,69,Norway,2022-01-13
Hyundai,62,Germany,2022-07-20
Nissan,43,Portugal,2022-09-03
Porsche,64,Norway,2022-06-05
Mitsubishi,28,China,2022-10-21
Audi,18,China,2022-07-18
Lexus,95,Portugal,2022-02-22
Mitsubishi,49,Italy,2022-08-08
BMW,79,Ukraine,2022-08-25
Suzuki,58,China,2022-04-02
Nissan,21,Portugal,2022-06-20
Hyundai,9,England,2022-09-25
Chevrolet,2,Germany,2022-11-07
Volvo,23,China,2022-08-26
GMC,35,Italy,2022-05-27
Honda,2,Norway,2022-10-16
Ford,85,Spain,2022-08-05
GMC,12,USA,2022-05-13
Mercedes-Benz,50,Germany,2022-12-09
Kia,18,Norway,2022-03-26
Ford,59,Italy,2022-08-10
Mercedes-Benz,59,Ukraine,2022-01-11
Subaru,68,Norway,2022-06-28
Mitsubishi,39,England,2022-02-08
Ram,44,USA,2022-05-15
INFINITI,68,Italy,2022-07-23
GMC,95,Spain,2022-11-18
Nissan,96,Portugal,2022-03-14
Chrysler,98,Norway,2022-12-05
Ford,19,England,2022-09-14
Subaru,30,USA,2022-10-10
Cadillac,65,England,2022-04-28
