car,price,country,date
Audi,93,Spain,2022-06-07
Ford,55,Portugal,2022-12-01
Chevrolet,41,USA,2022-04-13
Porsche,96,France,2022-09-12
MINI,29,USA,2022-05-10
Toyota,61,Germany,2022-06-12
Porsche,46,USA,2022-11-01
Chrysler,24,England,2022-04-19
Lincoln,94,France,2022-09-15
Subaru,98,USA,2022-03-17
Buick,90,Germany,2022-04-29
BMW,19,Italy,2022-05-03
GMC,57,Portugal,2022-05-20
Maserati,56,England,2022-04-28
Ram,31,USA,2022-08-10
MAZDA,77,England,2022-02-26
Ford,73,France,2022-01-02
Ram,30,USA,2022-11-17
GMC,94,Norway,2022-01-18
GMC,50,England,2022-06-02
Toyota,32,China,2022-09-18
Chevrolet,46,England,2022-02-07
Toyota,4,Portugal,2022-09-07
Lexus,3,France,2022-08-12
Acura,73,England,2022-03-24
Subaru,45,Italy,2022-04-01
Ford,40,France,2022-04-25
GMC,82,Portugal,2022-11-01
Toyota,45,Spain,2022-05-04
Volkswagen,61,Italy,2022-03-02
Chevrolet,1,Italy,2022-02-07
Ford,48,China,2022-09-07
Volvo,86,Italy,2022-06-19
Chevrolet,42,Germany,2022-11-09
BMW,50,Portugal,2022-01-09
BMW,17,Norway,2022-05-30
GMC,39,Italy,2022-01-24
Acura,25,China,2022-08-17
INFINITI,7,England,2022-09-17
Jeep,47,England,2022-10-28
Dodge,29,China,2022-03-26
Lexus,87,France,2022-04-13
Hyundai,86,Italy,2022-02-28
MAZDA,16,Germany,2022-10-19
Ford,94,Ukraine,2022-03-16
Ford,36,Portugal,2022-07-13
Jaguar,40,China,2022-12-20
Oldsmobile,3,France,2022-03-12
BMW,84,USA,2022-08-30
Porsche,67,Ukraine,2022-09-20
Volvo,98,Germany,2022-08-03
GMC,78,Italy,2022-07-02
Dodge,14,England,2022-06-22
Ferrari,51,China,2022-07-30
Toyota,36,Portugal,2022-12-17
Volkswagen,33,USA,2022-10-02
Hyundai,76,China,2022-02-24
Lincoln,57,Norway,2022-09-14
Chevrolet,95,Norway,2022-09-30
Buick,39,England,2022-04-04
GMC,10,England,2022-05-16
Audi,16,France,2022-10-27
Saturn,84,France,2022-03-18
Chevrolet,72,Germany,2022-02-18
Chevrolet,41,France,2022-05-03
GMC,13,England,2022-08-02
Ford,1,China,2022-09-03
Dodge,26,Spain,2022-02-01
Scion,42,Norway,2022-04-30
Acura,13,Norway,2022-06-17
Chevrolet,22,Germany,2022-05-30
Isuzu,76,Ukraine,2022-05-03
Ford,28,China,2022-10-04
Nissan,20,USA,2022-07-28
Hyundai,51,Ukraine,2022-03-09
Ford,49,USA,2022-06-03
Ram,58,Germany,2022-02-11
Chrysler,79,Norway,2022-10-25
Lincoln,17,Germany,2022-05-03
Lincoln,31,Portugal,2022-10-22
Chevrolet,80,Portugal,2022-10-17
GMC,56,Germany,2022-02-14
BMW,57,China,2022-01-01
Buick,71,Italy,2022-09-05
Mercury,66,Norway,2022-03-14
INFINITI,48,China,2022-08-24
Freightliner,97,France,2022-09-06
Chevrolet,22,USA,2022-04-18
Nissan,52,Spain,2022-04-27
BMW,52,Italy,2022-09-02
Suzuki,42,England,2022-04-12
Nissan,65,China,2022-06-30
Mercedes-Benz,20,Italy,2022-09-29
Pontiac,83,Italy,2022-03-08
Toyota,32,Ukraine,2022-01-03
Lincoln,25,Spain,2022-10-26
Hyundai,1,Germany,2022-10-24
Cadillac,74,Ukraine,2022-12-12
Maybach,58,England,2022-02-14
Acura,71,England,2022-04-13
